before_path,after_path,category,action,protected,before_hash,after_hash
.Rhistory,,6. local/temp/process,DELETE,no,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,
.gitignore,.gitignore,4. code/tests/assets,UPDATE,no,a819a3a228963a83258805bccd89a91cee9d3830,4425d5f8cfc593a0a6818ede0e5e7ae585f3496c
ALL_TASK_BRIEFS.md,docs/history/snapshots/ALL_TASK_BRIEFS.md,2. historical record,MOVE_THEN_POST_CLEANUP_UPDATE,yes,89fa753ea74b6ed15d559d44cf6fcee95202cb1d,c3f2acda68b10150f51c48b3e93bf3af5993916f
ANNOTATION_PIPELINE.md,ANNOTATION_PIPELINE.md,1. living docs,KEEP,no,8b8b9850bcb3a0eb30a8affedb801be775dfdfb0,8b8b9850bcb3a0eb30a8affedb801be775dfdfb0
DESIGN.md,DESIGN.md,1. living docs,KEEP,no,8b7e1d28415d3e2bb7ceca12c1bc1a2ab99ec254,8b7e1d28415d3e2bb7ceca12c1bc1a2ab99ec254
FAILURE_TAXONOMY.md,FAILURE_TAXONOMY.md,1. living docs,KEEP,no,f77f8209c6fbcf5918b129237699ebc0cf27863e,f77f8209c6fbcf5918b129237699ebc0cf27863e
FINAL_IMPLICIT_DESIGN_GATE_2026-07-14.md,docs/history/waves/final_implicit/FINAL_IMPLICIT_DESIGN_GATE_2026-07-14.md,2. historical record,MOVE,yes,c3dae7168196fa4480daa4c4bad717ca6f6bd8ab,c3dae7168196fa4480daa4c4bad717ca6f6bd8ab
FINAL_PRE_REPORT_BASELINE_2026-07-14.md,FINAL_PRE_REPORT_BASELINE_2026-07-14.md,1. living docs,UPDATE_THEN_POST_CLEANUP_RELEASE_UPDATE,yes,4f6654b52fde77b1be009449cd1f48a4594f74fc,c1dab01a801dd5d9db9a988272b7114dfa5c3cbf
HANDOFF_TO_CURSOR.md,docs/history/handoffs/HANDOFF_TO_CURSOR.md,2. historical record,MOVE,no,f8451ff3366bb1017f53b633c7f9afd7d9141249,f8451ff3366bb1017f53b633c7f9afd7d9141249
HANDOFF_TO_CURSOR_v2.md,docs/history/handoffs/HANDOFF_TO_CURSOR_v2.md,2. historical record,MOVE,no,33eb5f8c01139d7a2c8bc072a1df639cfd34edb1,33eb5f8c01139d7a2c8bc072a1df639cfd34edb1
ID_RESERVATIONS.md,ID_RESERVATIONS.md,1. living docs,KEEP,yes,3248322c57c0198a511ce39b594c4e4535d754ab,3248322c57c0198a511ce39b594c4e4535d754ab
MILESTONES.md,MILESTONES.md,1. living docs,KEEP,no,4bf27a213a68cdde22399237b59e1acbff539056,4bf27a213a68cdde22399237b59e1acbff539056
PHASE5_CONSOLIDATION_PLAN.md,docs/history/plans/PHASE5_CONSOLIDATION_PLAN.md,2. historical record,MOVE,no,19729d03c227677c12708825cd10df6330c97b08,19729d03c227677c12708825cd10df6330c97b08
PHASE_A_AUDIT.md,docs/history/audits/PHASE_A_AUDIT.md,2. historical record,MOVE,no,0e5da5db685962b726797e219bfa5e9ae7a548e5,0e5da5db685962b726797e219bfa5e9ae7a548e5
PHASE_C_BUILD.md,docs/history/waves/phase_c/PHASE_C_BUILD.md,2. historical record,MOVE,no,60db21757afa49933fdf39245d2c0f8c1259d231,60db21757afa49933fdf39245d2c0f8c1259d231
PHASE_C_RESULTS.md,docs/history/waves/phase_c/PHASE_C_RESULTS.md,2. historical record,MOVE,no,3206dfcd8b55fb05a024e2ce98b69a0a01a1d236,3206dfcd8b55fb05a024e2ce98b69a0a01a1d236
PHASE_C_WAVE2_TRIAGE.md,docs/history/waves/phase_c/PHASE_C_WAVE2_TRIAGE.md,2. historical record,MOVE,no,128f4941a2831768579ae57f457722997e4ef589,128f4941a2831768579ae57f457722997e4ef589
